horizon_days,target,repetition,model_id,architecture,wall_seconds,batch_size,resource,gpu_count,supporting_cpu_cores,slurm_job_id,target_date
7,ET,131,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20146309584379196,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,132,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.2009884025901556,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,133,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20079609286040068,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,134,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20137260109186172,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,135,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20165759976953268,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,136,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20185574050992727,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,137,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.20071369409561157,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,138,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.2003722582012415,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,139,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.2005978710949421,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,140,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19210813380777836,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,141,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.18888854142278433,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,142,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1914311619475484,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,143,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19142086058855057,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,144,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.19153850805014372,1,NVIDIA A40,1,8,6499038,2020-07-01
7,ET,145,001_base_7var_weekly_ARconvlstm_7d_low_lr_clip,autoregressive,0.1947822868824005,1,NVIDIA A40,1,8,6499038,2020-07-01
